,city,region,recruitmentFreq,salesFreq,lat,long
0,Toronto,ON,237.0,58087.0,43.6531982421875,-79.3832015991211
1,New York,NY,209.0,122994.0,40.71440124511719,-74.00599670410156
2,Redding,CA,174.0,18689.0,40.58649826049805,-122.39199829101562
3,Bangalore,India,165.0,3390.0,12.971599578857422,77.59459686279297
4,Chico,CA,163.0,33970.0,39.72850036621094,-121.83699798583984
5,Dover,DE,151.0,6714.0,39.158199310302734,-75.52439880371094
6,Goa,India,133.0,2394.0,15.299300193786616,74.1240005493164
7,Baltimore,MD,126.0,47296.0,39.29040145874024,-76.61219787597656
8,Staten Island,NY,124.0,10884.0,40.579498291015625,-74.15019989013672
9,Bhubaneswar,India,119.0,554.0,20.296100616455078,85.82450103759766
10,Indore,India,118.0,415.0,22.719600677490234,75.85769653320312
11,Chandigarh,India,118.0,632.0,30.73329925537109,76.77940368652344
12,Brooklyn,NY,117.0,54554.0,40.650001525878906,-73.94999694824219
13,Jaipur,India,114.0,908.0,26.91239929199219,75.78730010986328
14,Chennai,India,114.0,1725.0,13.05239963531494,80.25080108642578
15,New Delhi,India,112.0,7682.0,28.63529968261719,77.2249984741211
16,Washington DC,USA,110.0,82143.0,38.90719985961914,-77.0364990234375
17,Kolkata,India,109.0,2306.0,22.572599411010746,88.36389923095703
18,High Point,NC,106.0,34105.0,35.95560073852539,-80.00559997558594
19,Mumbai,India,106.0,5530.0,19.076000213623047,72.87770080566406
20,Ahmedabad,India,94.0,1895.0,23.03960037231445,72.56600189208984
21,Manhattan,NY,92.0,53466.0,40.79029846191406,-73.95970153808594
22,Shreveport,LA,87.0,22407.0,32.52519989013672,-93.7501983642578
23,Pune,India,81.0,1028.0,18.52039909362793,73.85669708251953
24,London,UK,75.0,29298.0,51.51119995117188,-0.11982399970293045
25,Ocala,FL,70.0,35413.0,29.18720054626465,-82.14009857177734
26,Surat,India,67.0,590.0,21.19499969482422,72.81939697265625
27,Christchurch,New Zealand,65.0,5534.0,-43.53210067749024,172.63600158691406
28,London,ON,64.0,26614.0,42.986900329589844,-81.24320220947266
29,Longview,TX,63.0,23862.0,32.5,-94.73999786376952
30,Memphis,TN,60.0,45408.0,35.14950180053711,-90.04900360107422
31,Sacramento,CA,59.0,64966.0,38.58160018920898,-121.49400329589844
32,Tyler,TX,59.0,18012.0,32.35016862249576,-95.30883396325736
33,Jonesboro,AR,57.0,14189.0,35.84230041503906,-90.7042999267578
34,Miami,FL,57.0,57492.0,25.78899955749512,-80.22640228271484
35,MO,USA,57.0,1574.0,37.964298248291016,-91.83180236816406
36,Hyderabad,India,55.0,3444.0,17.385000228881836,78.48670196533203
37,Lucknow,India,54.0,258.0,26.84650039672852,80.94670104980469
38,Scranton,PA,54.0,35070.0,41.40900039672852,-75.66239929199219
39,Knoxville,TN,53.0,41257.0,35.960601806640625,-83.92070007324219
40,Gurugram,HR,48.0,479.0,28.442800521850586,76.99359893798828
41,Philadelphia,PA,48.0,56796.0,39.95230102539063,-75.16380310058594
42,Hickory,NC,47.0,34394.0,35.73320007324219,-81.34120178222656
43,Little Rock,AR,47.0,45194.0,34.74649810791016,-92.2895965576172
44,Belfast,UK,46.0,1458.0,54.602500915527344,-5.927979946136475
45,Dallas,TX,46.0,118473.0,32.780101776123054,-96.80049896240234
46,Kerala,India,44.0,527.0,10.850500106811523,76.27110290527344
47,Bloomington,IL,43.0,27552.0,40.48419952392578,-88.99369812011719
48,Queens,NY,43.0,53898.0,40.72819900512695,-73.7948989868164
49,New Orleans,LA,41.0,41486.0,29.951099395751964,-90.07150268554688
