title,body,category,locality
I’m looking for u,"I'm a talent scout for ” The Platform By E ” , which is a adult entertainment entity looking to hire asap, female and male models. Looking for talents that want consistent work and payouts throughout the month. No this doesn't have any to do with law enforcement and all who's accepted will have to fill out a application and audition. A 1099 will be giving to you at the end of the year for tax purposes since all that's hired will be a independent contractor. Call now text now [redacted phone number]",AE,"[{'label': 'Savannah, GA, USA', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 32.083499908447266, 'lon': -81.09980010986328}}]"
Lily Maes Escort agency RECRUITING NOW in Newcastle,Lily Maes is an all British all female ran escort agency. With 2 ex escorting in charge you know you’re in safe hands. If you’re looking to join a high class professional escort agency then we could be the agency for you. We are now taking on ladies in Newcastle to join our elite team. Here at Lily Maes we specialise in touring all over the UK and Jersey. Fed up with working in Newcaslte and want to explore what other cities have to offer then give either myself [redacted name]  or [redacted name]  a call and we will happily arrange an interview for you. For more information on what is required take a look at our recruitment page http://www.lilymaesliverpool.com/recruitment/ We look forward from hearing from you. [redacted name] and [redacted name],Escort,"[{'label': 'Newcastle, UK', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 54.97829818725586, 'lon': -1.6177799701690674}}]"
Travel companion needed,"Looking for an attractive female travel companion aged between 22-39 to accompany me (male 39), travelling first class on a business trip to Canada at the end of May, returning First week of June in the capacity of my 'partner'. Must be able to present themselves in the highest manner, both in presentation and socially – you will be required to join me to some business functions. There will also be plenty of time for sightseeing. All travel expenses will be paid for with an allowance for shopping while away, a contribution towards appropriate clothing may be considered prior to departure. All in return for a willingness to interact in a professional manner with colleagues partners at functions and a willingness between the sheets with me. Not too worried about ethnicity but English must be first language A coffee date followed up with a dinner date to ensure social compatibility will be required with potential candidates – please note that there will be no need to check bedroom spark prior to leaving. Please include a recent 'clean' photo of you in your best function attire with a description about yourself and any conditions regarding your travel requirements (financial reward) etc. I am not looking for, nor wanting any permanent commitment following this trip, however there may be a possibility of repeating this arrangement on future trips. All initial contact will be made by email, and once I have narrowed down to the most suitable applicants, phone contact will be made. Please don't include your phone number until requested. I look forward to hearing from you",Personal,"[{'label': 'Christchurch, New Zealand', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': -43.532100677490234, 'lon': 172.63600158691406}}]"
Modeling Oppurtunities!,Currently seeking any and all ladies for multiple modeling opportunities of different varieties. Must be comfortable with partial nudity and varying working conditions. Before any thing is set in stone a face to face will be arranged to discuss the work and the payments! Must be 18 years of age or older and willing to provide ID and sign a waiver! Please feel free to email us and leave your name if you're interested! As well as add our snap chat and get featured on our upcoming stories!,Modeling,"[{'label': 'Eastern North Carolina, NC, USA', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 33.9370002746582, 'lon': -78.21769714355469}}]"
BANGBROS Looking for new Talent +18/21 Girls,"Hello this is [redacted name], i will be there for 2 weeks. we are looking new face for porn shootings in istanbul and berlin. if you interesting write me…",Porn,"[{'label': 'Istanbul, Turkey', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 41.00529861450195, 'lon': 28.976999282836914}}, {'label': 'Berlin, Germany', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 52.52000045776367, 'lon': 13.404999732971191}}]"
Richmond Relaxation Massage Center Is Now Hiring Masseuses,"We are a Smaller licensed relaxation massage center in Richmond . Now is hiring female masseuses. Our license is of body-rub massage category. There are both Half Day and full-day positions available. Evening Shifts are welcome . Caucasians are Welcome . We provide Clean and Friendly Environment & Clients. Every Room have in-room Showers. For Sure you can make Money here. Qualifications are – Must be 19-30 years old – Must be Slim & Friendly – Must have valid SIN card. If interested , please phone [redacted name] to schedule an interview.",Massage,"[{'label': 'Richmond, IN, USA', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 39.82889938354492, 'lon': -84.89019775390625}}, {'label': 'Richmond, VA, USA', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 37.54069900512695, 'lon': -77.43609619140625}}, {'label': 'Richmond, BC, Canada', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 49.18000030517578, 'lon': -123.12999725341797}}]"
Looking for Sugar Baby,"Looking for a Sugar Baby. Prefer currently in College but willing to accept others. Be open minded and available a few times a week. Willing to help with school, rent and other things.",Sugar,"[{'label': 'Columbia, SC, USA', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 34.000701904296875, 'lon': -81.03479766845703}}, {'label': 'Columbia, MO, USA', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 39.04690170288086, 'lon': -92.38140106201172}}]"
Established agency [redacted phone number]. Start today make$ today,Must be 19+. No exp ness. For your private interview call [redacted phone number]. You can start making $$ today .,Non-specified agency,"[{'label': 'Vancouver, BC, Canada', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 49.261199951171875, 'lon': -123.11399841308594}}]"
Girls needed for new agency,"Attractive outgoing girls needed, good commission, work days you want, training provided, work anywhere in the North East., [redacted phone number]",Non-specified agency,"[{'label': 'Newcastle, UK', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 54.97829818725586, 'lon': -1.6177799701690674}}]"
‘TIMEOUT’ Beautiful rooms to rent in Broomfield/Avonhead very private,"Beautiful 6 bedroom house in quiet private area of Christchurch, close to the airport. Looking for girls that are classy and well presented to work from this premises. Must be 18+ years of age. We cater for all your clients needs as well as yours. Best time to contact me would be Monday the 26th onwards. Regards [redacted name]",Housing,"[{'label': 'Broomfield, CO, USA', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 39.92060089111328, 'lon': -105.08599853515625}}]"
